1364385959 521 0
1364390816 536 0
1364391162 543 0
1364446445 597 0
1364447702 655 0
1364458646 864 0
1364656044 1421 0
1364697605 1502 0
1364892271 2614 0
1364911648 3171 0
1364974483 3354 0
1365002352 3518 0
1365050377 3573 0
1365432868 3869 0
1365483394 3935 0
1365485708 3991 0
1366033301 4080 0
1366037351 4308 0
1366127617 4401 0
1366253756 4555 0
1366265579 4794 0
1366267351 4988 0
1366433131 5112 0
1366604157 5355 0
1366725159 5355 0
1366725536 5355 2
1366728092 5355 3
1366764542 5380 3
1367719191 5827 3
1367720300 6008 3
1368526414 6164 3
1368594343 6453 3
1368680209 6575 3
1368684989 6640 3
1368756335 6793 3
1368759799 6877 3
1368772919 7063 3
1368773940 7116 3
1368797587 9124 3
1368802339 28206 3
1368856034 28234 3
1368866174 28339 3
1368927837 28411 3
1368932103 38159 3
1368947554 48047 3
1369017427 48111 3
1369021789 48139 3
1369028345 48684 3
1369122900 48929 3
1369146952 49008 3
1369387831 50497 3
1369637112 50497 13
1369639217 50504 13
1369639355 50504 13
