1364385959 1 0
1364390816 2 0
1364391162 3 0
1364446445 4 0
1364447702 5 0
1364458646 6 0
1364656044 7 0
1364697605 8 0
1364892271 9 0
1364911648 10 0
1364974483 11 0
1365002352 12 0
1365050377 13 0
1365432868 14 0
1365483394 15 0
1365485708 16 0
1366033301 17 0
1366037351 18 0
1366127617 19 0
1366253756 20 0
1366265579 21 0
1366267351 22 0
1366433131 23 0
1366604157 24 0
1366725159 25 0
1366725536 25 1
1366728092 25 2
1366764542 26 2
1367719191 27 2
1367720300 28 2
1368526414 29 2
1368594343 30 2
1368680209 31 2
1368684989 32 2
1368756335 33 2
1368759799 34 2
1368772919 35 2
1368773940 36 2
1368797587 37 2
1368802339 38 2
1368856034 39 2
1368866174 40 2
1368927837 41 2
1368932103 42 2
1368947554 43 2
1369017427 44 2
1369021789 45 2
1369028345 46 2
1369122900 47 2
1369146952 48 2
1369387831 49 2
1369637112 49 3
1369639217 50 3
1369639355 51 3
